Membership No  Date Joined  Active  
    68912      2019-11-14   no    
    92315      2020-7-13    no    
    33246      2019-2-20    no    
    23404      2016-2-11    no    
    66301      2017-1-12    no    
    16156      2015-11-8    no    
    55732      2020-11-19   no    
    45456      2018-11-13   no    
    15452      2016-1-21    no    
    28990      2018-5-16    no    
    57648      2019-7-13    no    
    59619      2016-6-5     no    
    47185      2015-1-20    no    
    21389      2020-5-21    no    
