Membership No  Date Joined  Active  
    43854      2019-8-3     no    
    70081      2015-10-20   no    
    17437      2016-6-24    no    
    77736      2019-6-19    no    
    78086      2020-5-2     no    
    57394      2015-8-22    no    
    86774      2016-1-21    no    
    41147      2019-8-22    no    
    36927      2016-11-15   no    
    45980      2019-1-16    no    
    40973      2016-12-19   no    
    92139      2018-1-25    no    
    99716      2016-2-5     no    
    60766      2019-4-22    no    
    61487      2018-12-22   no    
    44024      2019-10-19   no    
